"UNIQUE_ID","EPA_REG","LAT_DD83","LON_DD83","PTL_COND","NTL_COND","CHLA_COND","TROPHIC_STATE","ATZ_EPA_COND_3.4","ATZ_DETECT","CYLSPER_EPA_COND","CYLSPER_DETECT","MICX_EPA_COND","MICX_DETECT","ECOLI_EPA_COND","ECOLI_DETECT","BENT_MMI_COND_2017","ZOOP_MMI_COND_2017","DRAWDOWN_COND_2CAT_2017","LITRIPCVR_COND","LITCVR_COND","RVEG_COND","RDIS_COND","NLA_SCI_STATUS","distToNearestBlock","low_minor_buf","low_inc_buf","min_inc","max_inc"
"NLA_RI-10009","Region_01",41.98989,-71.59692,"Poor","Fair","Poor","Eutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Poor","Fair","Not Large","Good","Good","Good","Poor","Moderately Disturbed",0,0.0742392342683453,0.117389402449714,0.079207920792079,0.172597137014314
"NLA_SD-10221","Region_08",45.27454,-97.33832,"Poor","Poor","Good","Eutrophic","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Detected","Fair","Poor","Large","Poor","Poor","Poor","Fair","Least Disturbed",0,0.226968174204355,0.360971524288107,0.360971524288107,0.360971524288107
"NLA_CO-10079","Region_08",39.16191,-106.6667,"Good","Good","Good","Oligotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Fair","Good","Not Large","Poor","Fair","Fair","Good","Moderately Disturbed",0,0.004672897196262,0.218068535825545,0.218068535825545,0.218068535825545
"NLA_OH-10042","Region_05",39.65347,-82.47378,"Fair","Poor","Fair","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Good","Good","Not Large","Poor","Poor","Poor","Fair","Moderately Disturbed",0,0.0642180783288265,0.331656767499801,0.327258320126782,0.402937420178799
"NLA_MA-10011","Region_01",41.76019,-70.65755,"Good","Good","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Good","Good","Not Large","Poor","Poor","Good","Fair","Moderately Disturbed",0,0.254582845349833,0.341494648556638,0.324146981627296,0.486590038314176
"NLA_CO-10103","Region_08",39.06453,-108.0687,"Fair","Poor","Poor","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Good","Fair","Not Large","Good","Good","Good","Good","Least Disturbed",0,0.045402951191827,0.241618497109826,0.241618497109826,0.241618497109826
"NLA_ME-10089","Region_01",43.966999,-70.745565,"Good","Good","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Good","Good","Not Large","Fair","Good","Poor","Fair","Moderately Disturbed",0,0.030230708035004,0.3048683160415,0.3048683160415,0.3048683160415
"NLA_MN-10127","Region_05",45.08147,-94.81726,"Poor","Poor","Poor","Hypereutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Detected","Good","Fair","Not Large","Good","Good","Good","Fair","Least Disturbed",0,0.029931972789116,0.202721088435374,0.202721088435374,0.202721088435374
"NLA_SD-10199","Region_08",45.78323,-101.0891,"Poor","Poor","Poor","Hypereutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Poor","Fair","Not Large","Poor","Poor","Poor","Fair","Least Disturbed",0,0.722080136402387,0.683533447684391,0.683533447684391,0.683533447684391
"NLA_KY-10004","Region_04",38.48626,-82.87262,"Good","Good","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Good","Good","Not Large","Good","Good","Fair","Good","Moderately Disturbed",0,0.008217446270544,0.692160611854684,0.692160611854684,0.692160611854684
"NLA_RI-10051","Region_01",41.77464,-71.44686,"Poor","Fair","Poor","Hypereutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Detected","Poor","Poor","Not Large","Fair","Good","Fair","Poor","Most Disturbed",0,0.260027751659058,0.221900345306811,0.018637992831541,0.467300832342449
"NLA_MN-10130","Region_05",47.91117,-90.48658,"Good","Good","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Good","Good","Not Large","Good","Good","Good","Good","Moderately Disturbed",0,0.011138613861386,0.240300375469336,0.240300375469336,0.240300375469336
"NLA_NC-10020","Region_04",35.81465,-81.24485,"Fair","Fair","Fair","Eutrophic","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Fair","Fair","Not Large","Good","Good","Fair","Poor","Moderately Disturbed",NA,NA,NA,NA,NA
"NLA_NC-10031","Region_04",35.14813,-82.71677,"Good","Good","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Good","Fair","Not Large","Fair","Good","Poor","Poor","Least Disturbed",0,0.0157461905480355,0.168339365482288,0.163812785388127,0.470941883767535
"NLA_NC-10061","Region_04",35.19371,-81.96495,"Poor","Poor","Poor","Eutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Fair","Fair","Large","Poor","Fair","Poor","Fair","Least Disturbed",0,0.0718917320676248,0.291090845887361,0.216743119266055,0.49615975422427
"NLA_IN-10198","Region_05",41.49718,-86.7819,"Poor","Good","Poor","Eutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Good","Good","Not Large","Good","Good","Poor","Fair","Moderately Disturbed",0,0.022883295194508,0.172768878718535,0.172768878718535,0.172768878718535
"NLA_GA-10028","Region_04",32.63901,-83.96636,"Fair","Fair","Fair","Eutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Detected","Fair","Good","Not Assessed","Poor","Fair","Poor","Poor","Moderately Disturbed",0,0.171194007159343,0.509280736106672,0.5007072135785,0.564573459715639
"NLA_ME-10081","Region_01",47.10643131,-68.86687135,"Good","Good","Good","Oligotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Fair","Good","Not Large","Fair","Fair","Fair","Poor","Moderately Disturbed",0,0.0133347079321224,0.466714777624281,0,0.486111111111111
"NLA_ND-10152","Region_08",46.11088,-98.89073,"Poor","Poor","Poor","Hypereutrophic","At or Below Benchmark","Detected","At or Below Benchmark","Detected","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","Good","Fair","Not Large","Fair","Good","Poor","Fair","Moderately Disturbed",0,0.034246575342466,0.214611872146118,0.214611872146118,0.214611872146118
"NLA_CO-10021","Region_08",40.33708,-105.1267,"Good","Good","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Good","Good","Not Large","Good","Good","Fair","Fair","Moderately Disturbed",0,0.136683889149835,0.187411930483795,0.187411930483795,0.187411930483795
"NLA_MI-10089","Region_05",45.12481,-84.18028,"Good","Good","Good","Oligotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Good","Fair","Not Large","Poor","Poor","Poor","Fair","Moderately Disturbed",0,0.0724702405096836,0.310941784433663,0.30603448275862,0.329918032786885
"NLA_CT-10042","Region_01",41.95109,-73.46631,"Good","Good","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Fair","Good","Not Large","Good","Good","Good","Fair","Moderately Disturbed",0,0.0167601513066209,0.18181247673704,0.135,0.18503937007874
"NLA_NE-10115","Region_07",42.51739,-100.5028,"Good","Fair","Poor","Hypereutrophic","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","Above Benchmark","Detected","At or Below Benchmark","Detected","Poor","Good","Not Large","Good","Good","Good","Poor","Least Disturbed",0,0.075700934579439,0.325757575757575,0.325757575757575,0.325757575757575
"NLA_OR-10197","Region_10",43.4595,-122.1575,"Good","Good","Good","Oligotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Good","Good","Not Large","Good","Good","Good","Good","Least Disturbed",0,0.043684710351377,0.329534662867996,0.329534662867996,0.329534662867996
"NLA_MA-10007","Region_01",41.98474,-71.2003,"Poor","Poor","Fair","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Poor","Fair","Not Large","Good","Fair","Good","Fair","Moderately Disturbed",NA,NA,NA,NA,NA
"NLA_MN-10166","Region_05",45.30999,-95.04378,"Fair","Poor","Fair","Eutrophic","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","Good","Poor","Not Large","Poor","Poor","Poor","Fair","Moderately Disturbed",NA,NA,NA,NA,NA
"NLA_SD-10023","Region_08",45.63885,-97.34191,"Poor","Poor","Poor","Hypereutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Above Benchmark","Detected","At or Below Benchmark","Detected","Poor","Good","Large","Fair","Good","Fair","Fair","Moderately Disturbed",0,0.470673425054308,0.406227371469949,0.406227371469949,0.406227371469949
"NLA_NE-10087","Region_07",41.76432,-98.65979,"Poor","Poor","Poor","Eutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Good","Good","Not Assessed","Good","Good","Good","Fair","Least Disturbed",0,0.012165450121655,0.351581508515815,0.351581508515815,0.351581508515815
"NLA_SC-10012","Region_04",35.10982,-81.98462,"Fair","Good","Poor","Eutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Fair","Fair","Not Large","Good","Good","Poor","Fair","Moderately Disturbed",0,0.0962557727044184,0.243457116720359,0.213925327951564,0.299126637554585
"NLA_MA-10025","Region_01",42.10683,-71.13425,"Fair","Good","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Poor","Fair","Not Large","Fair","Poor","Fair","Fair","Moderately Disturbed",0,0.277968183710059,0.0475480120779977,0,0.142574257425742
"NLA_CO-10048","Region_08",40.0784,-105.2221,"Good","Good","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Not Assessed","Fair","Not Large","Fair","Good","Poor","Poor","Moderately Disturbed",NA,NA,NA,NA,NA
"NLA_IA-10002","Region_07",42.478854,-92.388799,"Good","Good","Good","Eutrophic","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Good","Good","Not Large","Good","Good","Good","Fair","Moderately Disturbed",0,0.182406982098343,0.424907843938586,0.163190184049079,0.498040752351097
"NLA_PA-10014","Region_03",40.36051,-78.10971,"Good","Poor","Good","Mesotrophic","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Good","Fair","Not Large","Good","Good","Good","Fair","Moderately Disturbed",NA,NA,NA,NA,NA
"NLA_IN-10234","Region_05",40.4347,-86.16207,"Good","Good","Good","Mesotrophic","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Good","Good","Not Large","Good","Good","Good","Fair","Not Assessed",0,0.0683992297050896,0.153136202053421,0.099579242636746,0.193310831543418
"NLA_MN-10046","Region_05",46.43745,-93.95703,"Fair","Good","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Good","Fair","Not Large","Good","Good","Good","Fair","Moderately Disturbed",0,0.077989601386482,0.236568457538994,0.236568457538994,0.236568457538994
"NLA_MN-10167","Region_05",46.4289,-94.12349,"Good","Good","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Detected","Good","Good","Not Large","Good","Good","Good","Fair","Moderately Disturbed",0,0.0779113208835923,0.237632036050586,0.236568457538994,0.421940928270042
"NLA_IA-10102","Region_07",42.60756,-94.45157,"Poor","Poor","Poor","Hypereutrophic","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Detected","Poor","Good","Not Large","Fair","Fair","Good","Fair","Least Disturbed",0,0.0436627436248359,0.374064511976857,0.288665254237288,0.392931392931393
"NLA_LA-10119","Region_06",32.3514,-93.7702,"Poor","Poor","Poor","Hypereutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Poor","Poor","Not Large","Good","Good","Good","Fair","Moderately Disturbed",0,0.24969367708092,0.20406139432393,0.093242087254063,0.477490774907749
"NLA_GA-10051","Region_04",33.01464,-83.02665,"Good","Good","Good","Oligotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Fair","Good","Not Large","Good","Good","Good","Good","Moderately Disturbed",0,0.378114842903575,0.292524377031419,0.292524377031419,0.292524377031419
