UNIQUE_ID,ACSTOTPOP,ACSIPOVBAS,MINORPCT,LOWINCOME,LOWINCPCT,LESSHS,LESSHSPCT,LINGISO,LINGISOPCT,UNDER5,UNDER5PCT,OVER64,OVER64PCT,PRE1960,PRE1960PCT,VULEOPCT,VULEO,DISPEO,DSLPM,CANCER,RESP,PTRAF,PWDIS,PNPL,PRMP,PTSDF,OZONE,PM25,D_LDPNT_2,D_DSLPM_2,D_CANCR_2,D_RESP_2,D_PTRAF_2,D_PWDIS_2,D_PNPL_2,D_PRMP_2,D_PTSDF_2,D_OZONE_2,D_PM25_2,P_MINORPCT,P_LWINCPCT,P_LESHSPCT,P_LNGISPCT,P_UNDR5PCT,P_OVR64PCT,P_LDPNT,P_VULEOPCT,P_DSLPM,P_CANCR,P_RESP,P_PTRAF,P_PWDIS,P_PNPL,P_PRMP,P_PTSDF,P_OZONE,P_PM25,P_LDPNT_D2,P_DSLPM_D2,P_CANCR_D2,P_RESP_D2,P_PTRAF_D2,P_PWDIS_D2,P_PNPL_D2,P_PRMP_D2,P_PTSDF_D2,P_OZONE_D2,P_PM25_D2
NLA_KY-10022,1630.829004,0,0.113294675,0,0.469606483,0,0.130926886,0,0.004451909,0,0.022102664,0,0.132762138,0,0.197849617,0.291450579,0,0,0.217688875,28.35769518,0.373916765,2.315408602,0.002835018,0.024502426,0.064803765,0.065739253,43.4782353,8.552577987,-19.06703638,-23.26072953,-3040.809897,-39.61626553,-568.1476125,-0.697865055,-2.692795779,-7.867075505,-6.883135862,-4596.050651,-904.9435456,53.01268846,66.48207444,51.16878141,74.83121859,12.95146042,40.53061402,58.25317211,63.59073493,28.68670697,21.34914415,18.9156093,15.74682789,29.90292084,46.14451162,14.51792556,17.77109768,41.14451162,39.83121859,48.04853958,62.2774419,61.21732099,61.67512564,62.79536747,54.92829775,57.13293029,66.65085585,66.79536747,59.44622331,60.21732099
NLA_MT-10074,734,0,0.095367847,0,0.20027248,0,0.045840407,0,0,0,0.023160763,0,0.282016349,0,0.281847134,0.147820163,0,0,0.024810923,13.62820146,0.158331426,0.278834512,1.90E-07,0.003424398,0.02701289,0.060470807,42.78830327,5.897551753,-42.69522577,-3.758448587,-2064.449371,-23.98461858,-42.23886297,-2.87E-05,-0.51874019,-4.092010478,-9.160337104,-6481.727325,-893.3825236,57,23,40,83,14,88,61,26,14,15,7,8,32,4,12,28,19,8,36,72,63,66,77,59,80,74,66,60,66
NLA_MT-10075,1220,0,0.019672131,0,0.36147541,0,0.030405405,0,0,0,0.068032787,0,0.225409836,0,0.551136364,0.19057377,0,0,0.026868781,13.868038,0.167274926,NA,0.002651593,0.020191594,0.502844412,0.020896224,43.83787516,6.419361096,-110.020802,-5.363690491,-2768.412255,-33.39231937,NA,-0.529325228,-4.030754399,-100.3805033,-4.171416478,-8751.15217,-1281.467352,6,61,27,83,64,74,85,47,16,17,13,NA,67,25,75,14,24,15,9,66,55,59,NA,27,61,24,72,48,57
NLA_NE-10062,459,0,0,0,0.235294118,0,0.061946903,0,0,0,0.043572985,0,0.25708061,0,0.633986928,0.117647059,0,0,0.074429129,13.74355114,0.154754602,1.150844775,NA,0.007318572,0.04596549,0.009502182,45.69903595,5.15797863,-68.83723332,-8.081389555,-1492.251645,-16.80299412,-124.9567882,NA,-0.794638209,-4.990855475,-1.031730974,-4961.924388,-560.0446361,1,44,51,57,25,89,80,23,2,0,0,9,NA,2,1,1,95,0,26,74,70,71,70,NA,74,77,77,62,69
NLA_MT-10076,338,0,0.020710059,0,0.322485207,0,0.043189369,0,0,0,0.017751479,0,0.470414201,0,0.46749226,0.171597633,0,0,0.01627465,13.10784538,0.168496737,NA,NA,0.010412897,0.188832091,0.013357913,43.46021634,7.40055726,-28.85361309,-1.004471097,-809.0159588,-10.39961532,NA,NA,-0.642683775,-11.65471293,-0.824450097,-2682.363697,-456.7622485,6,54,37,83,10,99,78,38,2,7,14,NA,NA,12,54,3,22,52,48,83,79,79,NA,NA,79,63,83,77,78
NLA_FL-10041,4705,0,0.246971307,0,0.298462852,0,0.07042747,0,0,0,0.11477152,0,0.106269926,0,0.087660525,0.27271708,0,0,0.334318543,32.73328612,0.707452958,137.9565937,386.5629481,0.078997284,1.10360238,0.478832071,35.79238562,8.072939726,-33.6075054,-128.1718568,-12549.36691,-271.225037,-52890.1347,-148201.444,-30.28617115,-423.1017669,-183.5758049,-13722.17192,-3095.023283,31,44,38,29,93,27,67,33,24,46,98,38,99,54,75,61,91,44,6,18,13,7,18,0,11,5,9,12,14
NLA_LA-10027,422,0,0.123222749,0,0.255924171,0,0.316860465,0,0.064864865,0,0.071090047,0,0.199052133,0,0.238304094,0.18957346,0,0,0.163334237,39.38001288,0.820020232,NA,NA,0.02028401,0.143237757,0.045652713,34.48685033,7.93049863,-16.55567047,-11.347299,-2735.842706,-56.96916292,NA,NA,-1.409188479,-9.951138735,-3.171625236,-2395.900636,-550.9545387,20,29,91,90,60,79,71,19,9,35,94,NA,NA,22,27,6,10,1,27,45,43,38,NA,NA,45,43,47,43,43
NLA_OK-10058,2734,0,0.222384784,0,0.435454211,0,0.146745562,0,0,0,0.08302853,0,0.171177762,0,0.11902834,0.328919498,0,0,0.22493981,30.11571939,0.390914117,94.9592676,0.038134229,0.020282969,0.107690777,0.66199685,46.83742222,7.819583836,-8.227235266,-15.54783289,-2081.597613,-27.01997192,-6563.581704,-2.635836731,-1.401958202,-7.443583259,-45.75720224,-3237.401207,-540.4893982,28,64,68,53,71,65,49,50,42,16,12,52,94,27,18,55,51,9,32,43,45,45,32,5,45,48,31,44,45
NLA_PA-10026,2230.642824,0,0.019073115,0,0.206710997,0,0.045577956,0,0,0,0.031497236,0,0.104590462,0,0.288557014,0.112892056,0,0,0.328809703,29.92986972,0.345309652,61.53921748,0.006105578,0.271825979,0.100488016,0.109815325,43.39619456,9.495703041,-138.8304334,-176.8844917,-16080.26087,-185.8612568,-13883.41282,-1.563042762,-147.976511,-53.13086405,-58.3433116,-23373.60202,-5116.891777,12.11455899,39.64456955,28.86981043,57,23.69386312,19.961214,31.0073343,22.09074649,34.13179473,46.5271789,39.13179473,18.28461198,51.97376515,84.26721117,10.59322248,11.28694799,45.86820527,58.81384747,21.16773396,21.74301698,16.4094698,16.58394957,56.99194995,28.90934184,8.03338148,50.27445914,55.67001787,15.06844343,14.9366487
NLA_CO-10047,2784,0,0.144037356,0,0.135057471,0,0.083074189,0,0.009556907,0,0.048850575,0,0.167744253,0,0.162092624,0.139547414,0,0,0.056791055,14.78583675,0.176104029,6.558591216,9.08E-08,0.021912784,0.086078635,0.055283819,51.81096209,5.102544521,-96.86589302,-33.93810362,-8835.955901,-105.2390514,-3919.387434,-5.43E-05,-13.09499073,-51.44024221,-33.03738556,-30962.02021,-3049.259851,24,29,64,52,41,71,68,21,11,11,11,6,13,33,13,11,22,10,6,50,25,28,60,59,37,41,53,12,19
